name,surname,gender,searching_gender,age,interests,latitude,longitude
Shannon,Pearson,M,M,29,"Bar tending, Polo, Food styling, Gaming, Mathematics",35.012,-92.803
Kelly,Collins,F,M,23,"Teaching, Art, Gaming, Calligraphy",39.0109,-84.5864
Mark,Houston,N,B,34,"Nature Photography, Bar tending, Interests",28.5032,-99.8294
Tammy,Ward,N,A,25,"Music, Stand-up comedy, Investment banking",46.5913,-89.5754
Rachel,Norman,N,A,38,"Skydiving, Fitness, Pilates, Acting",42.6528,-77.7949
Brenda,Lopez,F,B,39,"Paragliding, Nature Photography, Stand-up comedy, Wrestling",40.6856,-92.6763
Brandon,Obrien,N,A,34,"Board games, Art history, Nature, Mountain biking, Bouldering",39.2589,-84.6342
Donald,Flores,M,B,29,"Writing, Meditation, Poetry",36.3539,-89.817
Kimberly,Osborne,N,N,24,"Skateboarding, Shuffleboard, Floristry, Bowling",36.1885,-119.8222
Edgar,Johnson,M,N,31,"Swimming, Mobile app development, Nature, Investment banking, Art",35.3401,-96.136
Barbara,Burch,F,F,36,"Stand-up comedy, Pilates, Sculpting",40.2185,-95.5777
Christine,Murphy,F,A,36,"Sculpting, Art history, Interests",31.7879,-89.0362
Jennifer,Joseph,F,F,19,"Sculpting, Hunting, Polo, Guitar, Pinball",30.3883,-96.346
Emily,Mills,N,N,36,"Sailing, Wrestling, Mathematics, Web design",32.4698,-100.0111
Glen,Williams,N,N,38,"Mountain biking, Pool, Blacksmithing, Rappelling",27.9981,-82.2735
Leslie,Palmer,N,M,19,"Baking, Travel, Biking, Diving, Hiking",41.1858,-77.3164
Joshua,Thompson,M,B,22,"Guitar, Windsurfing, Kiteboarding",18.0922,-65.8005
Diana,Cherry,F,F,35,"Woodworking, Ballroom dancing, Physics, Jujitsu, Biking",41.8429,-123.9731
Andres,Flores,M,A,32,"Computer programming, Football, Board games, DJing, Theater",40.5258,-91.416
Jamie,Wong,F,F,21,"Kickboxing, Theatre, Glassblowing, Diving",36.443,-82.4621
Kimberly,Singh,N,M,22,"Guitar, Water polo, Dancing, Mountain biking, Table tennis",38.5481,-97.1542
Ricardo,Hartman,M,A,27,"Mixology, Air hockey, Pinball",37.1387,-88.4038
Mary,Guerra,N,F,27,"Mountain biking, Public relations, Yoga, Mathematics",33.1354,-95.8394
Kristin,Green,F,A,35,"Hiking, Gymnastics, Running",37.1794,-96.7161
Jared,Morgan,N,F,32,"Acting, Art history, Movies, Interests",36.6687,-96.3313
Christine,Lee,F,M,35,"Dancing, Biking, Fitness, Poetry, Pottery",55.1182,-131.5689
Mercedes,Huynh,F,F,25,"Jogging, Water polo, Shuffleboard, Ballet, Snowboarding",36.4046,-98.4401
Alyssa,Washington,F,M,25,"Sewing, Sculpting, Video games",42.6605,-78.0855
Heather,Mayo,N,B,30,"Kiteboarding, Writing, Rugby, Food styling, Food criticism",39.1864,-84.7632
Kristen,Myers,F,A,36,"Gaming, DJing, Sketching, Jogging, Floristry",40.3323,-82.9593
Keith,Lane,M,M,34,"Painting, Cycling, Surfing",33.9154,-93.1545
Emily,Suarez,F,M,29,"Food criticism, Judo, Gardening, Theatre, Treasure hunting",38.9312,-76.466
Donna,Blankenship,N,F,37,"Physics, Food styling, Judo, Ceramics, Blacksmithing",44.5799,-97.2109
Stephanie,Martin,F,B,31,"Boxing, Art history, Filmography",40.3723,-89.8325
Brooke,Carroll,N,N,31,"Billiards, Ballroom dancing, Hiking, Jujitsu, Cooking",33.9686,-86.6346
Nathaniel,Larson,M,B,32,"Watercolor, Snowboarding, Food criticism",39.2245,-82.1975
Anna,Garcia,N,N,19,"Mobile app development, Rugby, Bowling",25.4935,-80.4363
Matthew,Thomas,M,M,28,"Gaming, Cooking, Jogging, Water polo",42.3845,-123.1408
Lindsey,Smith,F,N,26,"Synchronized swimming, Woodworking, Public relations, Journalism",37.948,-92.2676
Jamie,Mcdonald,F,N,22,"Bowling, Writing, Acting, Muay Thai, Interior design",39.1498,-122.1389
Amy,Davis,N,F,36,"Poetry, Swimming, Gaming, Boxing, Geocaching",41.3408,-90.8482
George,Pierce,M,A,38,"American football, Mountain biking, Data analysis, Reading",46.2669,-106.6749
Barbara,Wang,F,F,27,"Interests, Music production, Darts, Road cycling, Art history",27.5625,-99.4874
Mariah,Evans,F,A,35,"Theater, Calligraphy, Treasure hunting, Wrestling, Computer programming",37.5846,-81.5355
Robert,Berger,M,M,19,"Poetry, Wrestling, Cooking",25.8571,-80.2367
Mary,Turner,N,B,36,"Music, Guitar, Reading, Physics",28.983,-81.2309
Samantha,Mccoy,N,M,26,"Muay Thai, Pinball, Air hockey, Swimming, Bowling",40.6576,-78.2521
Mackenzie,Horne,F,M,25,"Music, Financial analysis, Mountain biking, Interior design",40.9768,-81.8999
Jennifer,Carter,F,M,24,"Astronomy, Mobile app development, Pool, Sailing",44.5477,-123.1109
Jessica,James,F,N,28,"Financial analysis, Lacrosse, Karate",45.0187,-123.8882
Carolyn,Snyder,F,N,31,"Theatre, Biking, Polo, Acting",40.7409,-75.256
Stanley,Peck,M,M,19,"Gaming, Nature Photography, Cooking, Meditation, Board games",35.9785,-119.3003
Phillip,Peterson,N,B,38,"Kickboxing, Ceramics, Jujitsu, Gaming, Skydiving",36.3492,-119.4574
Keith,Black,N,F,26,"Squash, Sculpting, Stock trading, Treasure hunting",38.939,-119.7369
Robert,Brown,M,B,28,"Ice skating, Glassblowing, Air hockey",29.8734,-97.9356
Greg,Moody,M,N,34,"Blacksmithing, Orienteering, Web design, Self defense, Investment banking",46.3076,-123.6345
Brian,Snow,M,A,26,"Music, Billiards, American football, Computer programming, Air hockey",40.6408,-124.2225
Jennifer,Mendoza,F,N,31,"Golf, Astrophysics, Billiards, Treasure hunting, Video editing",40.7694,-90.8327
Melissa,Hernandez,N,A,31,"Art, Billiards, Art history",33.5056,-89.9218
Walter,Jimenez,M,A,24,"Rock climbing, Gymnastics, Hiking, Theater, Roller hockey",42.5074,-90.9613
Mark,Montgomery,M,N,25,"Roller hockey, Astrophysics, Investment banking, Muay Thai",42.6048,-72.0771
Patrick,Hogan,M,B,31,"Ceramics, Blacksmithing, Rock Climbing, Muay Thai, Road cycling",47.5305,-111.724
Victor,Hanson,N,N,20,"Yachting, Improv, Web design, Billiards",41.3118,-81.345
Dominique,Fox,F,F,31,"Jazz, Mixology, Boating, Hang gliding, Mountain biking",41.7861,-90.2163
Jeffrey,Thomas,M,N,20,"Art, Dancing, Geocaching, Travel, Tennis",39.5927,-80.2469
James,Carter,M,M,28,"Pilates, Muay Thai, Mountain biking, Sewing, Travel",40.3737,-78.4236
Christine,Hunt,F,F,37,"Billiards, Food criticism, Skateboarding, Rappelling, Computer programming",30.7952,-97.4324
Jason,Randolph,M,F,32,"Road cycling, Wine tasting, Teaching, Polo",37.3832,-87.6416
Edwin,Orozco,M,M,32,"Hunting, Web design, Writing, Martial arts",40.4784,-82.5485
Martha,Gentry,N,B,20,"Puzzle solving, Horseback riding, Filmmaking, Lacrosse",40.2919,-79.5478
Elizabeth,Mullen,F,N,23,"Swimming, Shuffleboard, Kiteboarding, Astronomy, Squash",43.2413,-75.2567
Linda,Mckinney,N,A,36,"Mixology, Nature, Web design, Sailing",43.0316,-74.9636
Amber,Price,N,B,30,"Calligraphy, Road cycling, Lacrosse, Travel",36.9619,-121.9715
Ashley,Mendoza,N,N,29,"Weightlifting, Mountain biking, Interests, Poetry",32.8,-116.8671
Russell,Parker,N,M,19,"Kiteboarding, Yachting, Bouldering, Filmmaking",43.5214,-124.211
Lauren,Williamson,N,A,25,"Filmography, Computer programming, Improv, Air hockey",44.7251,-85.8451
Justin,Benjamin,M,B,22,"Yoga, Dancing, Fitness, Fishing, Basketball",35.3224,-79.4114
Joshua,Farmer,N,A,28,"Acting, Rappelling, Mobile app development",43.6766,-87.9478
Kristopher,Jackson,N,A,36,"Travel, Music production, Mixology, Shuffleboard",42.6172,-83.3331
Laura,White,N,F,29,"Music, Ethical hacking, Pool, Snowboarding, Shuffleboard",47.7667,-117.0133
Brian,Ortega,M,B,24,"Watercolor, Treasure hunting, Sailing",31.8305,-84.3644
Kayla,Lewis,F,B,38,"Singing, Hang gliding, Pilates, Physics",34.8297,-104.6222
Thomas,Walker,N,M,24,"Squash, Hiking, Karate, Teaching",42.3786,-89.8218
Michael,Salinas,M,F,37,"Video editing, Shuffleboard, Swimming, Weightlifting, Hunting",20.234,-155.8028
Troy,Key,N,A,26,"Ice skating, Public relations, Surfing, Roller hockey, Salsa",40.4108,-111.2958
Nicole,Williams,F,A,35,"Journalism, Ice skating, Wine tasting, Fitness",29.7799,-95.5193
Janet,Johnson,F,A,38,"Reading, Billiards, Dancing, Salsa, Bouldering",43.5604,-94.7752
Megan,Johnston,N,A,28,"Guitar, Nature Photography, Bouldering, Advertising, Art history",27.6255,-81.9397
Michael,Romero,N,N,30,"Theatre, Card games, Advertising, Choreography",18.4453,-66.2239
Samantha,Morris,F,A,27,"Ballroom dancing, Windsurfing, Tennis",37.335,-82.9819
Susan,Nichols,N,A,32,"Data analysis, Fitness, Self defense",42.4659,-89.6469
Kayla,Moore,N,F,35,"Reading, Landscaping, Nature",40.2883,-78.9179
Jonathan,Carrillo,M,M,38,"Yachting, Roller hockey, Fashion design",31.8317,-99.4223
Michelle,Walker,N,F,36,"Theater, Carpentry, Basketball, Ice skating, Poetry",31.6463,-87.7108
Derrick,Reyes,M,M,33,"Football, Swimming, Sailing",35.1114,-106.3802
Lance,Rios,M,F,27,"Sketching, Yachting, Biking, Web design",40.0524,-75.644
Christopher,Carter,M,F,28,"Pilates, Triathlons, Choreography, Bowling",39.8924,-75.3287
Dana,Reid,F,M,31,"Music production, Movies, Financial analysis",39.452,-97.53
Alexis,Beck,F,F,20,"Yoga, Air hockey, Field hockey",39.4399,-123.8013
Ryan,Sanchez,M,F,31,"Theater, Travel, Escape rooms, Investment banking",41.2083,-80.5378
John,Hicks,M,N,23,"Mixology, Food criticism, Calligraphy, Roller hockey, Running",30.8859,-87.2218
Douglas,Patterson,M,M,24,"Watercolor, Calligraphy, Astronomy, Interests, Stock trading",35.1933,-87.035
Steven,Turner,N,M,29,"Puzzle solving, Jazz, Web design, Baking",44.896,-85.9899
Priscilla,Williams,F,N,32,"Kickboxing, Meditation, Running",41.8931,-74.8255
Erin,Davis,N,N,21,"Physics, Hunting, Public relations",38.868,-75.9989
Dennis,Cooper,N,B,21,"Cooking, Muay Thai, Knitting",37.5878,-77.5858
Blake,Kelly,N,M,38,"Painting, Filmmaking, American football, Karate, Horseback riding",44.6105,-95.6721
Edward,Joyce,N,N,18,"Football, Ballet, Web design",40.8331,-75.8848
Gloria,Harris,N,M,29,"Rugby, Ice skating, Paragliding",33.5957,-114.7317
Sarah,Mathews,N,B,28,"Cooking, Billiards, Ballet, Gardening, Stand-up comedy",39.7982,-120.6645
Gregory,Bailey,M,N,35,"Journalism, Air hockey, Lacrosse, Boxing",33.6677,-86.8069
Cindy,Ray,N,B,34,"Pool, Swimming, Self defense, Ballet",45.5137,-92.9601
Jason,Perez,N,M,25,"Running, Road cycling, Squash, Gaming, Weightlifting",36.3189,-91.4794
Julia,Montes,N,M,31,"Fitness, Nature, Synchronized swimming, Windsurfing, Treasure hunting",39.4319,-84.5399
Alexandra,Grant,F,F,33,"Filmography, Equestrian, Billiards, Water polo",41.0718,-95.9255
Mary,Lopez,F,N,24,"Bar tending, Filmmaking, Jujitsu",35.0723,-85.0545
Christine,Jenkins,F,F,30,"Glassblowing, Carpentry, Hiking",38.8837,-92.4551
Michael,Sanchez,N,A,18,"Ceramics, Floristry, Singing, Surfing",30.0741,-90.5557
Daniel,Tyler,M,A,31,"Gaming, Kiteboarding, Acting",40.2772,-121.0961
Brittany,Newman,F,F,19,"Theatre, Karate, Boating, Road cycling",35.9794,-96.7609
Virginia,Anderson,F,N,25,"Self defense, Sculpting, Bouldering",40.555,-81.1992
Rebecca,Peters,F,A,39,"Marketing, Gaming, Ceramics",43.808,-88.6732
Susan,White,N,M,28,"Financial analysis, Skydiving, Air hockey, Skiing, Shuffleboard",27.2601,-98.7847
Joshua,Mullins,M,F,22,"Ice skating, Mobile app development, Boating, Glassblowing, Shuffleboard",39.6587,-79.9868
Lisa,Stevens,F,F,19,"Choreography, Rock climbing, Yoga, Cycling, Skateboarding",34.0083,-111.3203
Melissa,Campbell,N,A,24,"Self defense, Calligraphy, Diving",30.7719,-96.0771
Victoria,Sherman,F,F,25,"Kayaking, Public relations, Movies, Video games",20.8261,-156.2917
Eric,Taylor,M,B,34,"Filmography, Landscaping, Photography, Polo",35.2671,-119.1055
Anne,Torres,N,F,38,"Landscaping, Food criticism, Jazz, Mountain biking",40.128,-76.0046
Christian,Vasquez,M,A,18,"Jazz, Acting, Financial analysis, Martial arts",34.0566,-84.6716
Katherine,Knapp,F,M,18,"Escape rooms, Fitness, Filmography, Horseback riding",34.8909,-90.7926
Robert,Adams,M,B,23,"Yoga, Mathematics, Windsurfing, Self defense, Painting",32.4928,-95.173
Hannah,Williams,F,F,29,"Football, Hunting, Theater",41.334,-92.2044
Pamela,Chung,F,M,28,"Skydiving, Horseback riding, Improv",33.5444,-90.5373
Emily,Smith,N,A,34,"Blacksmithing, Boating, Wine tasting",43.1036,-84.5136
Heidi,Hart,F,M,24,"Stand-up comedy, Billiards, Yoga, Music, Theatre",42.2237,-83.366
Cindy,Cruz,F,M,22,"Improv, Pinball, Sketching",47.9286,-97.0138
Lisa,Bates,F,F,26,"Filmmaking, Lacrosse, Improv",36.8013,-97.3009
Robert,Weiss,M,A,27,"Running, Stock trading, Baseball, Fishing",48.033,-99.7647
Brian,Guzman,M,F,30,"Mathematics, Ethical hacking, Letterboxing",28.6268,-81.4979
Rodney,Gilbert,N,A,31,"Rock climbing, Lacrosse, Triathlons",41.7362,-112.1627
Samantha,Davis,N,N,24,"Fashion design, Synchronized swimming, Hang gliding, Web design, Choreography",41.862,-70.9411
Michael,Love,M,M,27,"Choreography, Gardening, Billiards",39.1505,-84.7405
Melissa,Scott,N,B,33,"Rock climbing, Marathons, Basketball",30.7812,-89.8633
Madeline,Huff,N,M,39,"Water polo, Hang gliding, Board games, Pinball, Muay Thai",41.3359,-71.7633
Zachary,Clements,M,F,30,"Sewing, Sailing, Nature Photography, Music",40.1411,-75.0674
Erica,Chang,N,B,30,"Fitness, Football, Sewing, Salsa, Ceramics",34.5762,-91.4617
Jose,Manning,M,F,23,"Skydiving, Music, Geocaching, Food criticism",41.0493,-88.1006
Kevin,Reeves,M,B,21,"Ice skating, Squash, Music, Volleyball, Painting",39.7959,-85.5312
Jason,Roach,N,M,27,"Air hockey, Writing, Marketing, Nature Photography",57.745,-152.5442
William,Black,M,A,39,"Boating, Board games, Paragliding, Equestrian",41.3316,-88.8802
Jordan,Morrison,M,F,29,"Martial arts, Nature Photography, Surfing, Ballroom dancing",44.6207,-97.9592
Penny,Adams,F,N,18,"Rappelling, Marathons, Pinball",41.0888,-85.1436
Shelby,Hays,F,B,34,"Woodworking, Mathematics, Baking, Card games",26.0789,-80.287
Amy,Smith,F,F,31,"Ballroom dancing, Astronomy, Nature Photography, Surfing",31.8241,-98.2619
Matthew,Schultz,M,A,23,"Kayaking, Mathematics, Rappelling, Art history, Skiing",45.4654,-94.3218
Frederick,Wallace,N,A,24,"Video editing, Reading, Glassblowing",36.3242,-121.2428
Matthew,Branch,M,B,26,"Interior design, Bowling, Martial arts, Self defense",39.4794,-79.0768
Monique,Smith,N,F,18,"Skateboarding, Salsa, Sketching",42.6773,-78.7793
Kristen,Tran,F,A,35,"Treasure hunting, Physics, Orienteering, Photography",38.2657,-81.5691
Logan,Vazquez,N,N,28,"Writing, Yachting, Air hockey, Cybersecurity",30.7943,-85.2259
Brian,Sharp,M,A,20,"Rugby, Geocaching, Rock Climbing, Computer programming, Swimming",34.5143,-97.349
Mary,Sanchez,F,N,23,"Video games, Ballroom dancing, Equestrian, Escape rooms, Interests",33.647,-85.5698
Dawn,Cunningham,F,F,32,"Food styling, Interior design, Astrophysics, Mountain biking",34.321,-79.3371
Robert,Galloway,M,A,29,"Muay Thai, Baking, Art history",32.7431,-89.5337
Andrew,Moses,M,M,33,"Baking, Mathematics, Art, Drawing",42.6876,-90.7105
Tara,Adams,F,M,29,"Literature, Web design, Rappelling, Muay Thai, Lacrosse",44.7219,-123.9187
Brandy,Garrett,F,A,18,"Bouldering, Sewing, Interior design, Video editing, Skateboarding",32.8663,-82.4014
Rebecca,Owens,N,N,29,"Wine tasting, Glassblowing, Skydiving",39.0909,-84.4729
Douglas,Lowe,M,M,26,"Basketball, Running, Public relations",40.2013,-95.0404
Aaron,Beck,M,M,18,"Boxing, Card games, Floristry, Darts",31.1113,-87.0737
William,Molina,N,N,35,"Pilates, Video editing, Dancing, Cybersecurity, Fishing",42.4373,-71.692
Dominic,West,N,A,39,"Interests, Kiteboarding, Art history, Lacrosse",41.1909,-104.359
Robin,Zavala,F,B,32,"Gardening, Ice skating, Singing, Air hockey, Fitness",40.7288,-73.2495
Justin,Taylor,N,F,21,"Journalism, Basketball, Skiing, Cybersecurity, Stand-up comedy",40.4005,-81.3515
Brian,Baldwin,M,M,29,"Web design, Jogging, Choreography, Rock climbing",43.3354,-89.03
Johnny,Hale,M,N,19,"Movies, Hunting, Interests, Pool, Equestrian",38.7158,-90.3684
Mason,Bauer,M,N,34,"Boxing, Pinball, Food criticism, Rock climbing",37.21,-109.609
Michael,Hatfield,N,M,38,"Volleyball, Basketball, Filmography",29.9562,-89.9986
Lisa,Porter,F,N,26,"Theatre, Fishing, Polo, Muay Thai",34.6648,-77.0292
Kayla,Pittman,N,A,27,"Bowling, Judo, Wine tasting, Hunting, Floristry",29.5229,-98.5197
Joseph,Murphy,M,B,35,"Gaming, Interior design, Art history",41.4497,-97.062
Danielle,Skinner,F,M,18,"Fitness, Cooking, Pilates, Filmmaking",30.3757,-87.0573
Mariah,Acosta,F,M,25,"Jujitsu, Billiards, Interests, Singing",40.5906,-73.5796
Catherine,Carter,F,F,38,"Nature, Carpentry, Landscaping",35.0782,-86.5834
Shirley,Patrick,N,A,34,"Baking, Blacksmithing, Surfing, Meditation",39.9424,-74.1454
Catherine,Anderson,F,F,21,"Badminton, Skateboarding, Skiing, Ballet",34.616,-97.8207
Lisa,Levy,N,M,26,"Astronomy, Judo, Stock trading",35.6037,-110.0791
Russell,Smith,M,F,32,"Carpentry, Dancing, Mobile app development, Baseball",40.0418,-74.2851
Timothy,Stewart,N,F,31,"Biking, Pool, Choreography",40.9752,-83.4825
Trevor,Rogers,M,F,25,"Computer programming, Cybersecurity, Salsa",40.413,-76.4806
Valerie,Hicks,F,M,35,"Watercolor, Travel, Muay Thai, Art, Investment banking",40.6184,-78.2618
Shannon,Reed,F,A,29,"Bar tending, Mountain biking, Filmography, Water polo",34.8909,-90.7926
